"old_names","new_names","new_codes"
Bournemouth, Christchurch, Poole,Bournemouth, Christchurch and Poole,E06000058
Suffolk Coastal, Waveney,East Suffolk,E07000244
St Edmundsbury, Forest Heath,West Suffolk,E07000245
Aylesbury Vale, South Bucks, Chiltern, Wycombe,Buckinghamshire,E06000060
North Dorset, East Dorset, West Dorset, Weymouth and Portland, Purbeck,Dorset,E06000059
Taunton Deane, West Somerset,Somerset West and Taunton,E07000246
